Id,Weekly_Sales
0,25686.747454941597
1,18425.756453602768
2,14539.91884241314
3,15743.797007925923
4,5397.425492309699
5,5397.425492309699
6,5632.73148180952
7,5632.73148180952
8,8524.790613825036
9,8524.790613825036
10,8524.790613825036
11,8524.790613825036
12,10537.521416079417
13,10537.521416079417
14,10537.521416079417
15,10537.521416079417
16,10537.521416079417
17,10537.521416079417
18,10537.521416079417
19,10537.521416079417
20,10537.521416079417
21,10537.521416079417
22,10537.521416079417
23,10537.521416079417
24,10537.521416079417
25,10537.521416079417
26,11881.839160315501
27,11881.839160315501
28,11881.839160315501
29,11881.839160315501
30,11881.839160315501
31,11881.839160315501
32,11881.839160315501
33,11881.839160315501
34,11881.839160315501
35,11881.839160315501
36,11881.839160315501
37,11881.839160315501
38,11881.839160315501
39,44414.19011200507
40,34359.988634617104
41,30647.656680340428
42,30121.039853236125
43,10408.01197240921
44,10408.01197240921
45,10408.01197240921
46,10408.01197240921
47,10928.105204881307
48,10928.105204881307
49,10928.105204881307
50,10928.105204881307
51,10658.887254553334
52,10658.887254553334
53,10658.887254553334
54,10658.887254553334
55,10658.887254553334
56,10658.887254553334
57,10658.887254553334
58,10658.887254553334
59,10658.887254553334
60,10658.887254553334
61,10658.887254553334
62,10658.887254553334
63,10658.887254553334
64,10658.887254553334
65,12003.20499878942
66,12003.20499878942
67,12003.20499878942
68,12003.20499878942
69,12003.20499878942
70,12003.20499878942
71,12003.20499878942
72,12003.20499878942
73,12003.20499878942
74,12003.20499878942
75,12003.20499878942
76,12003.20499878942
77,12003.20499878942
78,9972.316440533697
79,7422.055380821843
80,6827.997958784825
81,6957.276988543002
82,3690.461083080115
83,3296.857367380639
84,3082.64079864203
85,3082.64079864203
86,8784.45471759728
87,8784.45471759728
88,8784.45471759728
89,8784.45471759728
90,10537.521416079417
91,10537.521416079417
92,10537.521416079417
93,10537.521416079417
94,10537.521416079417
95,10537.521416079417
96,10537.521416079417
97,10537.521416079417
98,10537.521416079417
99,10537.521416079417
100,10537.521416079417
101,10537.521416079417
102,10537.521416079417
103,10537.521416079417
104,11881.839160315501
105,11881.839160315501
106,11881.839160315501
107,11881.839160315501
108,11881.839160315501
109,11881.839160315501
110,11881.839160315501
111,11881.839160315501
112,11881.839160315501
113,11881.839160315501
114,11881.839160315501
115,11881.839160315501
116,11881.839160315501
117,36848.913416646355
118,29144.63392559463
119,27097.042260724014
120,26350.98167591977
121,9787.006972453813
122,9787.006972453813
123,9787.006972453813
124,9787.006972453813
125,10754.085383354191
126,10754.085383354191
127,10754.085383354191
128,10754.085383354191
129,10658.887254553334
130,10658.887254553334
131,10658.887254553334
132,10658.887254553334
133,10658.887254553334
134,10658.887254553334
135,10658.887254553334
136,10658.887254553334
137,10658.887254553334
138,10658.887254553334
139,10658.887254553334
140,10658.887254553334
141,10658.887254553334
142,10658.887254553334
143,12003.20499878942
144,12003.20499878942
145,12003.20499878942
146,12003.20499878942
147,12003.20499878942
148,12003.20499878942
149,12003.20499878942
150,12003.20499878942
151,12003.20499878942
152,12003.20499878942
153,12003.20499878942
154,12003.20499878942
155,12003.20499878942
156,24245.752123779304
157,17956.684912357843
158,14736.576189635025
159,15867.14660675568
160,5397.425492309699
161,5070.036705031297
162,5397.425492309699
163,5632.73148180952
164,8524.790613825036
165,8524.790613825036
166,8524.790613825036
167,8524.790613825036
168,10537.521416079417
169,10537.521416079417
170,10537.521416079417
171,10537.521416079417
172,10537.521416079417
173,10537.521416079417
174,10537.521416079417
175,10537.521416079417
176,10537.521416079417
177,10537.521416079417
178,10537.521416079417
179,10537.521416079417
180,10537.521416079417
181,10537.521416079417
182,11881.839160315501
183,11881.839160315501
184,11881.839160315501
185,11881.839160315501
186,11881.839160315501
187,11881.839160315501
188,11881.839160315501
189,11881.839160315501
190,11881.839160315501
191,11881.839160315501
192,11881.839160315501
193,11881.839160315501
194,11881.839160315501
195,4080.510911876826
196,3184.8169374097924
197,2800.2288956564894
198,2694.3038189522267
199,3822.1430837944913
200,3822.1430837944913
201,3822.1430837944913
202,3792.0573272748506
203,9886.03092787239
204,9886.03092787239
